SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,HighUsage,Efficiency,Month
SESSION00001,Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,True,1.0,True,0.3525641025641026,11
SESSION00002,Undergraduate,Psychology,2024-08-25,13.09,6,Studying,3,Assignment Completed,True,2.0,True,0.4583651642475172,8
SESSION00003,Undergraduate,Business,2025-01-12,19.22,5,Coding,3,Assignment Completed,True,3.3,True,0.2601456815816858,1
SESSION00004,Undergraduate,Computer Science,2025-05-06,3.7,1,Coding,3,Assignment Completed,True,3.5,False,0.27027027027027023,5
SESSION00005,Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,True,2.9,True,0.3200568990042674,3
SESSION00006,Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,True,5.0,False,0.13262599469496023,1
SESSION00007,High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,False,1.9,False,0.20547945205479454,9
SESSION00008,Undergraduate,Biology,2024-12-26,9.2,3,Writing,5,Assignment Completed,True,3.9,False,0.32608695652173914,12
SESSION00009,Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,True,3.3,False,0.12269938650306748,6
SESSION00010,Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,False,1.4,False,0.17953321364452424,4
SESSION00011,High School,Math,2025-02-24,24.52,6,Writing,2,Assignment Completed,False,1.9,True,0.24469820554649266,2
SESSION00012,Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,False,3.9,True,0.43440486533449174,11
SESSION00013,Undergraduate,History,2024-07-05,15.47,6,Studying,5,Idea Drafted,True,4.9,True,0.3878474466709761,7
SESSION00014,Undergraduate,Business,2024-11-03,24.13,5,Writing,4,Idea Drafted,True,3.7,True,0.20721094073767096,11
SESSION00015,High School,Computer Science,2025-05-21,22.51,8,Writing,3,Assignment Completed,True,4.9,True,0.3553976010661928,5
SESSION00016,High School,Psychology,2024-11-22,22.16,6,Coding,2,Idea Drafted,True,2.8,True,0.27075812274368233,11
SESSION00017,Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,True,5.0,False,0.30959752321981426,4
SESSION00018,High School,Biology,2025-04-13,18.36,4,Studying,2,Confused,False,1.2,False,0.2178649237472767,4
SESSION00019,Undergraduate,Math,2024-12-08,18.26,4,Studying,5,Assignment Completed,False,4.9,False,0.21905805038335158,12
SESSION00020,High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,True,3.5,True,0.30991735537190085,8
SESSION00021,Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,True,4.4,True,0.41060097051138483,5
SESSION00022,Undergraduate,Business,2025-01-09,11.11,2,Homework Help,5,Assignment Completed,False,4.9,False,0.18001800180018002,1
SESSION00023,Undergraduate,Biology,2025-04-21,19.87,8,Studying,2,Idea Drafted,True,3.1,True,0.40261701056869653,4
SESSION00024,Undergraduate,Math,2025-05-05,17.65,4,Coding,3,Gave Up,False,3.6,False,0.226628895184136,5
SESSION00025,Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,True,4.3,False,0.3703703703703704,11
SESSION00026,Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,True,3.2,False,0.16863406408094436,9
